customerid,name,country,state,gender,dob,interests,pincode
0002-ORFBO,keshav,India,Maharashtra,Male,4/12/1982,travel,
0003-MKNFE,raghav,India,Karnataka,Male,11/23/1995,,
0004-TLHLJ,lalita,India,Delhi,Female,2/15/1978,movie,
0011-IGKFF,mohan,India,Nagaland,Male,8/30/2001,,
0013-EXCHZ,mira,India,Delhi,Female,5/5/1990,drama,
0013-MHZWF,durga,,Delhi,Women,12/10/1988,,
0013-SMEOE,mina,India,Meghalaya,Female,9/21/1976,,
0014-BMAQU,madan,India,Rajasthan,Male,3/14/1999,,
0015-UOCOJ,maya,,Kathmandu,Women,7/7/1985,,
0016-QLJIS,arjun,Nepal,Kathmandu,Male,10/29/1993,,
0017-DINOC,shiva,India,Maharashtra,Men,1/22/1997,,
0017-IUDMW,rangadevi,India,Karnataka,Female,6/18/1981,,
0018-NYROU,chitra,,Telangana,Female,12/1/2004,,
0019-EFAEP,raju,India,Meghalaya,Female,4/25/1992,,
0019-GFNTW,Madhav,India,Uttar Pradesh,Men,11/11/1979,,
0020-INWCK,parvati,India,Delhi,Female,2/28/1986,job,
0020-JDNXP,rikim,India,Meghalaya,Female,8/19/1994,,
0021-IKXGC,vishakha,India,Rajasthan,Female,9/2/2000,,
0022-TCJCI,raghvendra,India,Telangana,Male,12/30/1983,,
0023-HGHWL,rishabh,India,Uttar Pradesh,Men,5/14/1991,,
0023-UYUPN,sudevi,India,Maharashtra,Women,10/6/1977,,
